X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8576600.36624011,4706980.13250654,11002002_11034382,11002002,477.72698975,20TH ST NW & F ST NW,,f2625dc1fc2afee05079bbb58084f6d3,1120,,4979422
-8570299.33109471,4713185.35530927,12001302_12084892,12084892,1393.6529541,TAYLOR ST NE & 13TH ST NE,13,738bd82b16cc1559360d00508ecf09c7,3161b,,4979433
-8574908.04809225,4711184.5023556,11001302_11043742,11043742,812.07501221,HARVARD ST NW & 13TH ST NW,,732f6dabedb087d333e25607e08fdbf1,5039,,4979457
-8575647.55639981,4718862.91500794,11001602_11046082,11001602,8957.88867188,16TH ST NW & HOLLY ST NW,13,a7f9ac1024ea70db32c44e18e558897d,5093,,4979461
-8569987.86081392,4706439.66924598,12001402_12019822,12001402,418.81100464,14TH ST NE & C ST NE,13,7283f5a11ea93881149e4ac7c81f1567,3108,,4979495
-8581350.78918858,4715853.25390176,11049982_11092692,11049982,1896.77197266,JENIFER ST NW & WESTERN AVE NW,13,c713c0e0474843ccbe90aa9c5e48790c,6127,,4979501
-8572417.68155226,4696788.30176426,13033152_14033152_15081252,15081252,7376.8828125,SOUTH CAPITOL ST BN & ELMIRA ST SE & ELMIRA ST SW,13,39dc4925c3155f55b0b913d80a3fcf1b,4185,,4979507
-8576996.45645595,4705507.34269312,14027302_14047972,14047972,3456.5300293,INDEPENDENCE AVE SW & DANIEL C FRENCH DR SW,13,6dc554256dd27be5115e2464016bb2b5,1240,,4979553
-8581738.82983874,4712108.28935631,11037892_11063762,11037892,3369.38500977,FOXHALL RD NW & NEBRASKA AVE NW,13,6967c70c229fa0bf0504c34d7ccb344b,6113,,4979594
-8572064.00035383,4703995.09731713,13057852_13064282,13057852,428.61599731,M ST SE & NEW JERSEY AVE SE,,e851d7bbe72632e7b8a4dc8ac00adb1f,2260,,4979595
-8574744.14024109,4715708.61581563,11040042_11058372,11058372,1700.31005859,MADISON ST NW & GEORGIA AVE NW,13,f40b15563c3184dd258a81cca27f1ae1,5137,,4979619
-8576352.63528764,4710600.55423906,11001802_11009102_11024632,11024632,2368.35302734,COLUMBIA RD NW & 18TH ST NW & ADAMS MILL RD NW,13,fc874862aeed96ecdd8d6a4e5fbf1e42,6001,,4979639
-8573834.96695154,4713372.04954491,11064222_11088012,11088012,587.83300781,UPSHUR ST NW & NEW HAMPSHIRE AVE NW,13,a1b5b2f6d631860c609bd96f2b9d5e74,5158,,4979645
-8574038.82122021,4710075.41759693,11040042_11090152,11090152,1114.89294434,W ST NW & GEORGIA AVE NW,,fe5315b4b494c5195ba0db3bab3a6a67,5148,,4979674
-8573533.85090684,4709161.88484322,11064282_11074162,11064282,2366.90600586,NEW JERSEY AVE NW & R ST NW,,8068e1a0b9e4c861b76e199fa96f05d4,3028,,4979680
-8574897.9646613,4705209.81805663,14001302_14026912,14026912,1290.97802734,D ST SW & 13TH ST SW,13,5115b3622ec3c870154a06c02a32e5a6,1221,,4979696
-8571873.50900074,4711713.74344898,12048752_12060582,12060582,755.69396973,MICHIGAN AVE NE & IRVING ST NE,13,6d06c0065ace31c334b2ad76402adfa4,3234,,4979728
-8574343.75288824,4709949.36662312,11088462_11089442,11088462,1020.92602539,V ST NW & VERMONT AVE NW,13,57bb56427a25517276b95bb1d9f4206c,5202a,,4979742
-8571726.95259471,4715769.43077916,12023332_12076052,12076052,881.98797607,RIGGS RD NE & CHILLUM PL NE,,4db485c1d029bd46b845b473ebb01346,5189,,4979764
-8575379.21915101,4713349.49214894,11011052_11088012,11011052,377.85699463,ARKANSAS AVE NW & UPSHUR ST NW,13,de76beba705fecf9990fd5f0ac28735f,5111,,4979772
